230|anthrax[song]=1_ Random Acts Of Senseless Vilence
231|anthrax[song]=1_ Taking The Music Back
232|anthrax[song]=1_ Time
233|anthrax[song]=1_ Worship (Intro)
234|anthrax[song]=2_ Blood
235|anthrax[song]=2_ Caught In A Mosh
236|anthrax[song]=2_ Earth On Hell
237|anthrax[song]=2_ Fueled
238|anthrax[song]=2_ Ghost
239|anthrax[song]=2_ Lone Justice
240|anthrax[song]=2_ Metal Thrashing Mad
241|anthrax[song]=2_ Only
242|anthrax[song]=2_ Raise Hell
243|anthrax[song]=3_ Caught In A Mosh
244|anthrax[song]=3_ Exit
245|anthrax[song]=3_ God Save The Queen
246|anthrax[song]=3_ I Am The Law
247|anthrax[song]=3_ I'm Eighteen
248|anthrax[song]=3_ Keep It In The Family
249|anthrax[song]=3_ King Size
250|anthrax[song]=3_ Madhouse
251|anthrax[song]=3_ Room For One More
252|anthrax[song]=3_ The Devil You Know
253|anthrax[song]=4_ A_I_R_
254|anthrax[song]=4_ Efilnikufesin (N_F_L_)
255|anthrax[song]=4_ Fight 'em 'til You Can't
256|anthrax[song]=4_ In My World
257|anthrax[song]=4_ Metal Thrashing Mad (live)
258|anthrax[song]=4_ Next To You
259|anthrax[song]=4_ Packaged Rebellion
260|anthrax[song]=4_ Panic
261|anthrax[song]=4_ Riding Shotgun
262|anthrax[song]=4_ S_S_C_  Stand Or Fall
263|anthrax[song]=5_ A Skeleton In The Closet
264|anthrax[song]=5_ Among The Living
265|anthrax[song]=5_ Gridlock
266|anthrax[song]=5_ Hy Pro Glo
267|anthrax[song]=5_ I'm Alive
268|anthrax[song]=5_ N_F_L_
269|anthrax[song]=5_ Panic (live)
270|anthrax[song]=5_ Perpetual Motion
271|anthrax[song]=5_ Subjugator
272|anthrax[song]=5_ The Enemy
273|anthrax[song]=6_ Aftershock
274|anthrax[song]=6_ Deathrider
275|anthrax[song]=6_ Hymn 1
276|anthrax[song]=6_ In A Zone
277|anthrax[song]=6_ Indians
278|anthrax[song]=6_ Intro To Reality
279|anthrax[song]=6_ Invisible
280|anthrax[song]=6_ Keep It In The Family
281|anthrax[song]=6_ Soldiers Of Metal
282|anthrax[song]=7_ 1000 Points Of Hate
283|anthrax[song]=7_ Armed And Dangerous
284|anthrax[song]=7_ Belly Of The Beast
285|anthrax[song]=7_ Death From Above
286|anthrax[song]=7_ Howling Furies
287|anthrax[song]=7_ In The End
288|anthrax[song]=7_ Indians
289|anthrax[song]=7_ Medusa
290|anthrax[song]=7_ Nothing
291|anthrax[song]=7_ One World
292|anthrax[song]=8_ A_D_I_ Horror Of It All
293|anthrax[song]=8_ American Pompeii
294|anthrax[song]=8_ Anthrax
295|anthrax[song]=8_ Black Lodge
296|anthrax[song]=8_ Got The Time
297|anthrax[song]=8_ In My World
298|anthrax[song]=8_ Madhouse
299|anthrax[song]=8_ Medusa
300|anthrax[song]=8_ The Giant
301|anthrax[song]=9_ Across The River
302|anthrax[song]=9_ C11H17N2O2SNA (Sodium Pentathol)
303|anthrax[song]=9_ Drop The Ball
304|anthrax[song]=9_ Gung-Ho
305|anthrax[song]=9_ H8 Red
306|anthrax[song]=9_ Hymn 2
307|anthrax[song]=9_ Imitation Of Life
308|anthrax[song]=9_ Indians
309|anthrax[song]=9_ Panic
310|arch_enemy[song]=10_ Cult Of Chaos
311|arch_enemy[song]=10_ Damnation's Way
